id,lot,serialnumber,senddate
4481,444552,6KYVARAX9,2024-08-07
4482,444552,ZG5MATG26,2024-08-07
4498,444552,HMW8G2P92,2024-08-07
4499,444552,GF78PDDZ3,2024-08-07
4500,444552,FM6M2YDR3,2024-08-07
4501,444552,EX32H1ZCS,2024-08-07
4502,444552,7BW3C7037,2024-08-07
4503,444552,DAXSMEN3Y,2024-08-07
4504,444552,PW31ECCPE,2024-08-07
4505,444552,MBRHABV5S,2024-08-07
4506,444552,CYRDBHS6K,2024-08-07
4507,444552,TAC3RVYZW,2024-08-07
4371,444552,TESFCK458,2024-08-07
4344,444552,DRGK2BNH2,2024-08-07
4345,444552,95AA67C0M,2024-08-07
4508,444552,SVN1VHC16,2024-08-07
4509,444552,9TGN39PPH,2024-08-07
4510,444552,DVVENKP1C,2024-08-07
4511,444552,BYEYK40EG,2024-08-07
4530,444552,MAATG8YDC,2024-08-07
4531,444552,R2B45N7EP,2024-08-07
4532,444552,140W0M8R9,2024-08-07
4357,444552,1DMW692NY,2024-08-07
4358,444552,APYGPDA8K,2024-08-07
4323,444552,RKK3GZZMS,2024-08-07
4324,444552,ZS9EWGK0F,2024-08-07
4325,444552,K97ZMMANY,2024-08-07
4326,444552,KDYF3609Y,2024-08-07
4327,444552,A3149A1N6,2024-08-07
4328,444552,MTSYHE4RP,2024-08-07
4379,444552,2CKNX3FRG,2024-08-07
4331,444552,R8A6Y3XWK,2024-08-07
4356,444552,YG51ZR6XY,2024-08-07
4338,444552,KG12TCZZC,2024-08-07
4339,444552,4P0HD7V24,2024-08-07
4332,444552,V7KGTTMB5,2024-08-07
4366,444552,STZTCA8VX,2024-08-07
4369,444552,XTSSEPD3K,2024-08-07
4418,444552,5FH3X9E24,2024-08-07
4471,444552,4ZDKY9G89,2024-08-07
4472,444552,HYXRZK3K4,2024-08-07
4468,444552,6D0MK1XX7,2024-08-07
4469,444552,152VTMV33,2024-08-07
4476,444552,S0EC5A221,2024-08-07
4520,444552,EV8Z4C2A5,2024-08-07
4424,444552,4NNAFY161,2024-08-07
4426,444552,YXC5ZGEM4,2024-08-07
4427,444552,DBF5XVHCP,2024-08-07
4428,444552,2TT9CZD01,2024-08-07
4429,444552,589CPRYF6,2024-08-07
4430,444552,MRMZ3HPVK,2024-08-07
4431,444552,F5VC1C0FP,2024-08-07
4432,444552,F74FC4RPF,2024-08-07
4433,444552,Y4KRXDS1T,2024-08-07
4434,444552,B98P1MVR3,2024-08-07
4435,444552,VAF6V9G31,2024-08-07
4442,444552,5V1THDXVD,2024-08-07
4386,444552,D09MRRZGG,2024-08-07
4387,444552,64N8RMZ16,2024-08-07
4370,444552,G027X23RS,2024-08-07
4460,444552,Y787EKEEM,2024-08-07
4461,444552,WBRE8FYH0,2024-08-07
4462,444552,NTGSPGYYB,2024-08-07
4463,444552,BK96A84XK,2024-08-07
4464,444552,KPCXN06NN,2024-08-07
4470,444552,TB6RRZ169,2024-08-07
4475,444552,2ABSG63E6,2024-08-07
4478,444552,S948KZ7PV,2024-08-07
4479,444552,ZGCRR84V1,2024-08-07
4480,444552,5N8046G0D,2024-08-07
4483,444552,4W3HXVNN2,2024-08-07
4484,444552,TXZSCV25W,2024-08-07
4485,444552,7RTTHG612,2024-08-07
4486,444552,DSXG7DZNB,2024-08-07
4556,444552,H4T90FYB6,2024-08-07
4513,444552,7940CEW5K,2024-08-07
4525,444552,SMYD560SD,2024-08-07
4526,444552,1N5ZMN2ER,2024-08-07
4527,444552,Z3WT3K8R1,2024-08-07
4528,444552,G47ZMS37M,2024-08-07
4529,444552,K6SN1THBM,2024-08-07
4473,444552,94C24FBZ1,2024-08-07
4474,444552,GT9D0S5N9,2024-08-07
4388,444552,3B9Z9S747,2024-08-07
4389,444552,5PA79W7AY,2024-08-07
4390,444552,76DB8DVTV,2024-08-07
4340,444552,ZXG51DXYP,2024-08-07
4341,444552,EV4BDGXMA,2024-08-07
4342,444552,6V9YT9MRX,2024-08-07
4367,444552,GEN1MKGHF,2024-08-07
4368,444552,ZD5DWD232,2024-08-07
4343,444552,ZKCDG10P2,2024-08-07
4372,444552,CMK9SYN12,2024-08-07
4373,444552,BXP8P40EE,2024-08-07
4374,444552,RN47E06BE,2024-08-07
4375,444552,R3SPFXH69,2024-08-07
4376,444552,26FH4D3W8,2024-08-07
4377,444552,25PZP6W5H,2024-08-07
4378,444552,M4TMZ8WPM,2024-08-07
4384,444552,FGF2A60KE,2024-08-07
4346,444552,K706GMHGV,2024-08-07
4347,444552,CD73VSWY2,2024-08-07
4405,444552,MG4BY0D3W,2024-08-07
4406,444552,4427W5PWD,2024-08-07
4407,444552,TWHM89D9X,2024-08-07
4449,444552,7Y433EZCK,2024-08-07
4450,444552,NABN36DY1,2024-08-07
4421,444552,5P21YW8KB,2024-08-07
4422,444552,29SRVVY79,2024-08-07
4423,444552,4DR497B27,2024-08-07
4391,444552,HMZZBW7SD,2024-08-07
4392,444552,S9WC0H6XS,2024-08-07
4393,444552,KMMBKH3PM,2024-08-07
4394,444552,TXBNGN940,2024-08-07
4395,444552,DMA004F61,2024-08-07
4396,444552,TFR20NP3H,2024-08-07
4397,444552,VPYFWC5HE,2024-08-07
4408,444552,104YASZV0,2024-08-07
4409,444552,TE3NMNN11,2024-08-07
4412,444552,3MDVSP1N6,2024-08-07
4533,444552,RZM1SKZNW,2024-08-07
4534,444552,EZDC9A3AV,2024-08-07
4535,444552,41AKF2Z4T,2024-08-07
4536,444552,B8GR58P49,2024-08-07
4537,444552,F6SPX452A,2024-08-07
4538,444552,PG0CMDW11,2024-08-07
4539,444552,FGXY55C4G,2024-08-07
4360,444552,NRYKHHDXP,2024-08-07
4361,444552,7Y1AAKCME,2024-08-07
4362,444552,XT64881DR,2024-08-07
4363,444552,9CTHTK03M,2024-08-07
4364,444552,4F0ZSTR9E,2024-08-07
4365,444552,90ARG0YHX,2024-08-07
4413,444552,NW7CN5Y1A,2024-08-07
4414,444552,41D1YT1Y1,2024-08-07
4415,444552,19D56EC38,2024-08-07
4416,444552,YP310VYEG,2024-08-07
4398,444552,YYVDAXNNK,2024-08-07
4399,444552,8N99RD340,2024-08-07
4451,444552,50Y4S02DD,2024-08-07
4452,444552,Y9XZ659VA,2024-08-07
4453,444552,DE60B01MW,2024-08-07
4454,444552,H3WTW19DW,2024-08-07
4455,444552,CAYV2FTA4,2024-08-07
4456,444552,WCE6ZHF4Z,2024-08-07
4457,444552,EN8HB508V,2024-08-07
4458,444552,1XV0B5K2H,2024-08-07
4459,444552,4HD132E74,2024-08-07
4487,444552,725NRTB5Y,2024-08-07
4488,444552,ZX3F209KM,2024-08-07
4489,444552,B6R3Z2FAV,2024-08-07
4465,444552,VX0T58X5R,2024-08-07
4549,444552,K66VRR8V8,2024-08-07
4550,444552,WP251D9W9,2024-08-07
4551,444552,GH845ZH6F,2024-08-07
4552,444552,2YGRCTX1D,2024-08-07
4349,444552,201HTRGM0,2024-08-07
4350,444552,K7A60EM96,2024-08-07
4351,444552,1ZR0X6W5P,2024-08-07
4352,444552,2N1DM6E6S,2024-08-07
4353,444552,SGF9X5MXC,2024-08-07
4354,444552,9B3RY6T88,2024-08-07
4355,444552,W7PGXWAWA,2024-08-07
4466,444552,9E971SABH,2024-08-07
4467,444552,Z5VVKNW0T,2024-08-07
4490,444552,TPYPC66B0,2024-08-07
4491,444552,PGBYX6NGT,2024-08-07
4492,444552,2TK42TCY3,2024-08-07
